page,review_id,company,review_title,employee_role,employee_history,employeer_pros,employeer_cons,employeer_rating,work_life_balance,culture_values,career_opportunities,compensation_and_benefits,senior_management,diversity_inclusion,review_time
2,empReview_36719276, Deutsche Bank,Corporate Banking,Current Employee - Analyst,I have been working at Deutsche Bank full-time for more than a year,Great people and receive a lot of responsibility. Great place to work,There are no negatives working here,5,5,5,5,5,NA,5,2020-10-05T06:41:58Z
1,empReview_37906628, Wells Fargo,Change is in the Air,Former Employee - Relationship Associate,I worked at Wells Fargo full-time for more than 3 years,"Dedicated, loyal employees that truly care about the customer",Must be located in a hub city for the best opportunities,4,4,4,4,5,NA,5,2020-11-02T10:59:30Z
1,empReview_37907166, Wells Fargo,Good company,Current Employee - Personal Banker,I have been working at Wells Fargo full-time for more than a year,Lots of free training and incentive bonus that align with customer service,Constant changes to how we conduct business,4,3,4,2,4,NA,3,2020-11-02T11:12:05Z
1,empReview_37861254, Wells Fargo,Amazing,Current Employee - Personal Banker,I have been working at Wells Fargo full-time for more than 5 years,Perfect place to work and learn,The transfer procedure didn’t helped me to much in my relocation,5,5,5,5,5,NA,5,2020-11-01T02:45:29Z
1,empReview_37869855, Wells Fargo,good place to work,Former Employee - Personal Banker,I worked at Wells Fargo full-time for more than 5 years,"well know company and established values, work culture",travel and law suits in the last years,5,5,5,5,5,NA,5,2020-11-01T11:01:01Z
1,empReview_37867868, Wells Fargo,Good comfy company,Current Employee - Corporate Trust Analyst,I have been working at Wells Fargo full-time,They teach you the work and always have business,"Hire too many people, some excess within the company",4,NA,NA,NA,NA,NA,NA,2020-11-01T09:25:00Z
1,empReview_37878742, Wells Fargo,Good,Current Employee - Treasury Management Sales Officer,I have been working at Wells Fargo full-time,"Products, leadership, support, pay, team",No complaints in Line of business,4,5,4,4,4,NA,5,2020-11-01T18:36:24Z
1,empReview_37884571, Wells Fargo,Overall Great Company To Work For,Current Employee - Personal Banker II,I have been working at Wells Fargo full-time for more than 3 years,"Salary, Career Advancement, Benefits, PTO, Team Members",Past legal troubles that continue to have an impact on the bank,4,4,4,5,5,NA,4,2020-11-01T23:11:16Z
1,empReview_37854999, Wells Fargo,Good place to work,Current Employee - Bank Teller,I have been working at Wells Fargo part-time for less than a year,"Nice work environment, great benefits, perfect schedule for a balanced life",I wish they paid a little bit more...,5,5,4,4,3,NA,5,2020-10-31T17:48:54Z
1,empReview_37851453, Wells Fargo,None,Current Employee - District Manager,I have been working at Wells Fargo full-time for more than 10 years,Great company to work for,"No significant downside at this moment 
Continue making improvements",4,4,4,4,4,NA,4,2020-10-31T13:00:04Z
1,empReview_37859686, Wells Fargo,Great benefit,Current Employee - Senior Business Banking Specialist,I have been working at Wells Fargo full-time for more than a year,Great place to qork. Good benefit and positions to hrow,Many layers of managements and certain restrictions,4,5,3,5,4,NA,5,2020-11-01T01:18:25Z
1,empReview_37575772, TD,It was okay,Former Employee - Customer Service Representative,I worked at TD full-time for more than 3 years,Most shifts are early in the morning,Co workers were lazy and management had favoritism towards certain employees.,3,2,3,3,3,2,NA,2020-10-24T20:02:19Z
1,empReview_37554330, TD,TD Bank - Great place to work,Former Employee - Systems Developer,I worked at TD full-time,"Great company culture, good work life balance",Compensation may be lower compared to competing companies,3,NA,NA,NA,NA,NA,NA,2020-10-23T22:08:34Z
1,empReview_36776537, TD,TD Bank former employee,Former Employee - Student,I worked at TD part-time,"Flexible schedule, and a great place to work with many great employees.",No cons at td bank.,5,5,5,5,5,NA,5,2020-10-06T07:26:18Z
1,empReview_36809281, TD,TD experience,Current Employee - Product Manager,I have been working at TD full-time,None about TD at the moment,Ability to grow and move from one team to another team,5,3,3,5,4,NA,4,2020-10-06T19:21:01Z
1,empReview_36770327, TD,Good Place to Work,Former Employee - Bank Teller,I worked at TD full-time for more than a year,A lot of growth opportunity,"Hectic work environment, must be excellent working under pressure.",4,3,3,3,3,3,NA,2020-10-06T05:12:05Z
1,empReview_37361257, TD,Very tough company,Current Employee - Customer Experience Coordinator,I have been working at TD full-time,"Pto is great
Incentives are great
Bonuses
Lots of award potentials
Wont fire you even though 3 hr reports have been made on you","Very manager dependent
Wage is unfair
No work life balance
Higher ups don’t care about employees safety
Hard to move up unless you break your back
Wage is not negotiable 
Doesn’t matter if your store is the busy they don’t care and will try to pay you less",3,1,1,2,2,NA,5,2020-10-19T22:54:11Z
1,empReview_36703525, TD,Working with TD,Current Employee - Customer Service Representative,I have been working at TD part-time for more than a year,"Flexible schedule, new opportunities for promotions, great inclusive environment",Technology at TD is a little bit outdate makes it sometimes difficult,5,5,5,5,5,NA,5,2020-10-04T21:27:20Z
1,empReview_37363850, TD,No work life balance.,Current Employee - Store Supervisor,I have been working at TD full-time,"Room for growth.
Convenient hours.
Competitive pay.","No work life balance.
Incompetent managers.
Lack of training.
High turnover.",2,1,5,3,2,NA,2,2020-10-20T00:37:48Z
1,empReview_37302635, TD,It's cool for now,Current Employee - Assistant Manager,I have been working at TD full-time,Flexible schedule Good hours Fun job,They pay low for the responsibility,3,NA,NA,NA,NA,NA,NA,2020-10-18T18:20:42Z
1,empReview_36656218, TD,Good company to work for,Current Employee - Head Teller,I have been working at TD full-time,Good benefits. PTO. 401k. Great covid response,Not many cons I can say,5,4,5,5,4,NA,5,2020-10-03T05:26:52Z
1,empReview_36948104, Credit Suisse,Mature processes and policies but company looks to innovate and stay modern,Current Employee - Human Resources,I have been working at Credit Suisse full-time,"Consistent processes and policies, so you know what to expect",Bureaucracy - same as any large company in a highly regulated industry,4,3,3,4,4,NA,2,2020-10-09T11:08:58Z
1,empReview_37529338, Credit Suisse,Great company,Current Employee - Vice President,I have been working at Credit Suisse full-time,There are a lot of smart people that work for this company,The culture can be improved,3,1,1,3,4,NA,1,2020-10-23T07:22:13Z
1,empReview_36834053, Credit Suisse,Cool Place,Former Employee - Associate,I worked at Credit Suisse full-time,"one of the top places to work in finance, friendly people, challenging work","work life balance issue, stress caused my overworking",4,NA,NA,NA,NA,NA,NA,2020-10-07T07:47:48Z
1,empReview_36869649, Credit Suisse,Working at Credit Suisse,Current Employee - Compliance Analyst,I have been working at Credit Suisse full-time,"Intelligent environment
Adaptable 
Good benefits with 401k match, on-site gym, cafe. Etc.
Collaborative 
Encourages ongoing growth and learning","Large company which can sometimes feel disconnected with locations around the globe 
Constant reorganization and change",4,2,3,4,4,NA,4,2020-10-07T22:35:20Z
1,empReview_37460435, Credit Suisse,Good work environment but poor pay,Current Employee - Senior Business Analyst,I have been working at Credit Suisse full-time,Great work environment and smart working,"Lack of growth opportunities, poor pay",3,NA,NA,NA,NA,NA,NA,2020-10-21T18:30:06Z
1,empReview_36722414, Credit Suisse,Large company with opportunities if persistent and in focus of senior management,Former Employee - Director,I worked at Credit Suisse full-time for more than 10 years,Large sample size of different jobs and career paths; ability to mobilize internally for international experience; most of the employee base is easy to work and partner with; salary is commensurate with the job requirements in the industry.,Inability to push across big ideas in an organized fashion due to layers of organizational red tape; constant change of leadership at top levels leads to abandoned ideas and in flight projects making in tough to deliver; focus still on high cost location staff and lower cost location staff is forgotten.,4,4,3,3,4,NA,5,2020-10-05T07:44:36Z
1,empReview_36667976, Credit Suisse,Solid company - warm culture,Current Employee - Managing Director,I have been working at Credit Suisse full-time,"Strong collaborative culture
Mostly ""nice"" people to work with
International opportunities, especially in Switzerland","Still somewhat siloed by division and corporate function
Some parts of the bank don't have most the up to date technology solutions, especially in corporate functions",5,3,5,4,3,NA,5,2020-10-03T14:30:04Z
1,empReview_36458686, Credit Suisse,Good experience,Former Employee - Analyst,I worked at Credit Suisse full-time,"Good people and culture, care about employees","So-so pay versus street, lots of restructuring activities are disruptive",5,NA,NA,NA,NA,NA,NA,2020-09-28T12:47:56Z
1,empReview_36397114, Credit Suisse,"Great learning experience, high standards culture",Current Employee - Investment Banking Associate,I have been working at Credit Suisse full-time for less than a year,"World-class client base, exceptional talent, full-range product offering","None at this time, thankfully",5,3,5,5,4,5,NA,2020-09-26T09:08:43Z
1,empReview_36372987, Credit Suisse,Strong Culture,Former Employee - Investment Banking,I worked at Credit Suisse full-time for more than a year,Great access to senior management,Benefits are light relative to other banks,5,1,4,5,5,5,NA,2020-09-25T11:13:29Z
1,empReview_35039194, Société Générale,Great employer,Former Employee - Senior Associate,I worked at Société Générale full-time,"Great managers
Good gender balance
Lots of trainings",Career progress takes too long,5,NA,NA,NA,NA,NA,NA,2020-08-18T14:07:56Z
1,empReview_36944581, Société Générale,Good place to learn,Former Employee - Associate,I worked at Société Générale full-time for more than a year,Smart people and good collaboration,Bureaucracy got in the way of employee morale,4,NA,NA,NA,NA,NA,NA,2020-10-09T09:49:05Z
1,empReview_36639629, Société Générale,nice people,Former Employee - Internship,I worked at Société Générale full-time,very nice laid back people,not a lot of structure,5,NA,NA,NA,NA,NA,NA,2020-10-02T14:22:02Z
1,empReview_36550582, Société Générale,SG review,Current Employee - Risk Analyst,I have been working at Société Générale full-time,"fancy office, nice people, nice equipments","French style, career path, location",4,3,2,4,3,3,NA,2020-09-30T12:46:51Z
1,empReview_37106178, Société Générale,Coworkers make it worth it,Current Employee - Global Markets Analyst,I have been working at Société Générale full-time for more than a year,Great people who are patient and helpful,Outdated systems and low quality data hinder various analysis,3,4,4,4,4,NA,4,2020-10-13T17:43:51Z
1,empReview_36343449, Société Générale,Good,Current Employee - Programmer Analyst,I have been working at Société Générale full-time,You learn a lot from this company,I can’t think of any.,4,NA,NA,NA,NA,NA,NA,2020-09-24T16:41:59Z
1,empReview_36838617, Société Générale,Not Good,Former Employee - Managing Director,I worked at Société Générale full-time for more than 5 years,The executive dining room was decent,"pay is terrible
people (both local and non-local) were low quality and misinformed",1,3,2,1,1,NA,2,2020-10-07T09:06:24Z
1,empReview_35424801, Société Générale,Great company,Former Employee - Intern,I worked at Société Générale full-time for less than a year,"Stable work, good training, not too complicated","Not paid enough, long hours at work",4,5,4,4,2,3,NA,2020-08-29T18:08:27Z
1,empReview_35317111, Société Générale,Great place to learn,Former Employee - Associate,I worked at Société Générale full-time,"talented co-workers, good trading systems, good place to learn the biz",comp below street standards. competition is fierce,4,5,5,4,4,4,NA,2020-08-26T12:22:13Z
1,empReview_35274114, Société Générale,Great place to learn,Current Employee - Vice President,I have been working at Société Générale full-time for more than 3 years,Easy to work with senior managers. Because the organization is so lean there are opportunities to get involved if you look for them.,HQ in Paris sometimes translates to not having as much autonomy to make decisions impacting local businesses. Compensation is below market I believe.,4,5,5,3,3,4,NA,2020-08-25T12:49:39Z
2,empReview_34758043, Société Générale,SG,Current Employee - Anonymous Employee,I have been working at Société Générale full-time for more than 10 years,"entrepreneurial environment, good place for innovation",Head office is heavy on the region and center of most of decisions,3,4,4,3,4,3,NA,2020-08-10T05:59:17Z
2,empReview_34418350, Société Générale,Great opportunities to grow a career,Former Employee - Transaction Manager,I worked at Société Générale full-time for more than 10 years,"Career advancement and internal / international mobility, benefits, wide variety of businesses within the Corporate & Investment Bank","As in most large FI organizations, approval processes can take quite some time",5,5,4,5,5,4,NA,2020-07-24T10:30:13Z
2,empReview_34639445, Société Générale,An interesting place...,Former Employee - Anonymous Employee,I worked at Société Générale full-time for more than 3 years,"Smart and hardworking worker bees. Interesting deals. Try to be creative. Structured finance-focused. Good benefits, was an early adopter of 1 day a week WFH, casual dress.  More life balance, at 50-65 hrs/week.","A lot of overseas armchair quarterbacking in US markets they are not experts in. Many at the top of the house in CIB seem ill-equipped to run businesses - good individual contributors but shouldn't be the stewards. Often felt like they threw ideas at a wall to see what stuck rather than taking time to do white papers. From a competitive standpoint, they copy what BNP, Credit Ag and Natixis do, rather than other better performing IBs. Cannot compete on cost of funds vs many competitors in the US so have to take on more aggressive businesses.",3,4,3,4,4,2,NA,2020-08-05T13:58:18Z
2,empReview_33467290, Société Générale,Financial Engineer,Current Employee - Financial Engineer,I have been working at Société Générale full-time for more than a year,"Company environment, and work cultur",No cons as such required to mention,5,3,4,4,4,4,NA,2020-06-01T15:39:46Z
2,empReview_33245518, Société Générale,Good to learn and as a quick career step,Current Employee - Director,I have been working at Société Générale full-time for more than 10 years,"Flexibility.
Paid time off above average.
Easy to outperform compared to other banks in NY.
Good to learn. They bring some strong technical guys from Paris.","Pays with a discount compared to the NY market and therefore attracts low local calibres or very political guys. The bank survives in NYC with expats they bring from Paris at a lower cost.
Support functions are very political. Most of talent ends up leaving due to low evolution perspectives",3,5,2,2,2,2,NA,2020-05-18T19:16:04Z
2,empReview_33113105, Société Générale,Don't Settle. Keep Looking.,Former Employee - Kyc Specialist,I worked at Société Générale full-time for more than a year,"Nice environment 
Nice coworkers 
Internal Cafeteria is decent","Poor growth opportunities.
Poor Training
Lack of consistent policy and procedures.",2,5,3,2,4,3,NA,2020-05-11T03:00:20Z
2,empReview_32860935, Société Générale,7/10 job,Current Employee - Investment Banking Analyst,I have been working at Société Générale full-time,Good work-life balance overall. Good people.,Tiny bonuses compared to American banks,4,NA,NA,NA,NA,NA,NA,2020-04-23T17:02:00Z
2,empReview_32873299, Société Générale,Not a good place for non-french,Current Employee - Associate,I have been working at Société Générale full-time for more than 3 years,"- Above average paid vacation days
- Seems like a good place if you want to stay in the comfort zone","- Almost zero opportunity of growing for non-french employees. 
- Hierarchical organization structure
- Below average bonus
- Some work is really meaningless and wasting of time",2,3,1,1,1,2,NA,2020-04-24T12:41:29Z
2,empReview_32726944, Société Générale,Invest in technology and talents,Former Employee - Business Analyst,I worked at Société Générale full-time for more than 3 years,The business is interesting with qualitative and loyal clients,The applications and software are quite difficult to use on a daily basis (if you have the access granted in less than one month of course),3,4,3,2,2,2,NA,2020-04-14T12:29:31Z
2,empReview_32502829, Société Générale,Good place to work At Soc Gen,Current Employee - Chief Engineer,I have been working at Société Générale full-time for more than 8 years,There are very Good Benefits at Socv Gen,there is a lot of geographical Fragmentation at Soc Gen,5,5,5,5,5,5,NA,2020-03-26T17:56:38Z
