page,review_id,company,review_title,employee_role,employee_history,employeer_pros,employeer_cons,employeer_rating,work_life_balance,culture_values,career_opportunities,compensation_and_benefits,senior_management,diversity_inclusion,review_time
2,empReview_37827471, Deutsche Bank,Depends on the team,Current Employee - Analyst,I have been working at Deutsche Bank full-time,can learn a lot if you're on the right team,"lay offs, disorganized management structure and training, the people they hire at 7/10 not qualified nor dedicated",3,1,1,1,3,NA,2,NA
2,empReview_37159714, Deutsche Bank,Deutsche Bank- India,Former Employee - Business Analyst,I worked at Deutsche Bank full-time,"Great place to work, good work life balance",Recent top management changes and re-structuring brought negative press and brief period of un-stability,4,NA,NA,NA,NA,NA,NA,NA
2,empReview_37104993, Deutsche Bank,good,Current Employee - Portfolio Associate,I have been working at Deutsche Bank full-time,i enjoy this job a lot,nothing to report. keep it up,4,4,4,3,3,NA,5,NA
2,empReview_37061307, Deutsche Bank,Deutsche Bank Review,Current Employee - Risk Officer,I have been working at Deutsche Bank full-time for more than 5 years,High Base compared with other firms,"Communication within teams, management style",4,4,3,3,4,NA,3,NA
2,empReview_37055379, Deutsche Bank,Great work/life balance,Former Employee - Associate Director,I worked at Deutsche Bank full-time for more than 5 years,Great place to work. Friendly people,career advancement is a bit slow,5,5,5,3,3,5,NA,NA
2,empReview_36907758, Deutsche Bank,not so stable company during this time,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 5 years,good number of vacation days,"will not pay for up-skill
lot of restructuring and letting people go",5,5,3,3,5,NA,2,NA
2,empReview_36882984, Deutsche Bank,DB,Current Employee - Vice President,I have been working at Deutsche Bank full-time,Good people to work with.,Limited career path with budget cuts,4,NA,NA,NA,NA,NA,NA,NA
2,empReview_37436258, Deutsche Bank,Great comp and benefits,Current Employee - Vice President,I have been working at Deutsche Bank full-time,"Great benefits, especially time off",Poor company performance resulting in spotty bonuses,3,NA,NA,NA,NA,NA,NA,NA
2,empReview_37389666, Deutsche Bank,Good first job if you’re not looking for many exit opps,Former Employee - Analyst,I worked at Deutsche Bank full-time,"Training in London 
Good financial training overall
Salary/ benefits employer math 
Good people (not mgmt)","Massive, old dinosaur of Wall Street I don’t see it being around in 5-10 years 
still lots of clean up from 2008, horrible clients mgmt, unfettered capitalistic greed 
Little mobility for younger people because people stay so long, senior positions beneath basically exec board level roles are only marginally different than middle tier",3,4,2,3,5,NA,2,NA
2,empReview_36719276, Deutsche Bank,Corporate Banking,Current Employee - Analyst,I have been working at Deutsche Bank full-time for more than a year,Great people and receive a lot of responsibility. Great place to work,There are no negatives working here,5,5,5,5,5,NA,5,NA
3,empReview_37301137, Deutsche Bank,Not terrible but not great,Former Employee - Vice President,I worked at Deutsche Bank full-time,"Benefits, flexibility, people. Lots of bureaucracy but that's expected for a large bank.",Hard to get promoted. Bonuses were weak.,3,NA,NA,NA,NA,NA,NA,NA
3,empReview_36666147, Deutsche Bank,Great place to work,Former Employee - Procurement Specialist,I worked at Deutsche Bank full-time for more than 5 years,Good company and compensation and health care benefits,Bad Management and favoritism runs rapid,4,5,3,3,5,NA,3,NA
3,empReview_36570218, Deutsche Bank,Great team and learning,Former Employee - Analyst,I worked at Deutsche Bank full-time,Good support for new hires,General cons of investment banking,4,NA,NA,NA,NA,NA,NA,NA
3,empReview_36600676, Deutsche Bank,Client Service Review,Current Employee - Client Service Specialist,I have been working at Deutsche Bank full-time for more than 10 years,"The company is actively working to improve diversity, inclusion and belong among all employees.",Not enough diversity represented in senior management. Opportunities for employee growth needs improvement.,4,3,4,3,4,NA,3,NA
3,empReview_37195774, Deutsche Bank,Boutique US Wealth Manager within Global Bank,Current Employee - Private Wealth Management,I have been working at Deutsche Bank full-time,Talented and experienced employees who go the extra mile for their clients.,Constant management turnover and bad press,3,5,3,3,3,NA,3,NA
3,empReview_36470000, Deutsche Bank,Great company,Former Employee - Compliance Manager,I worked at Deutsche Bank full-time for more than 3 years,there is great opportuinry to grow,the company has high turnover,5,4,3,4,4,2,NA,NA
3,empReview_36467522, Deutsche Bank,Good place to work,Former Employee - AVP-IT,I worked at Deutsche Bank full-time for more than a year,"Stable Job, Good work-life balance",Nothing I am aware of,4,4,4,4,4,4,NA,NA
3,empReview_36484122, Deutsche Bank,Great company,Former Employee - Senior Operations Analyst,I worked at Deutsche Bank full-time,Great company and benefits for all,I can't think of any at this time,4,NA,NA,NA,NA,NA,NA,NA
3,empReview_37074342, Deutsche Bank,Compliance is key,Current Employee - Compliance Director,I have been working at Deutsche Bank full-time,Great people to work with that are proactive and experienced,"High turnover rate at joinior levels, high attrition",3,3,4,3,4,NA,3,NA
3,empReview_36400272, Deutsche Bank,Feels like things are on the right track,Current Employee - Managing Director,I have been working at Deutsche Bank full-time for more than 3 years,Strong culture. Lots of upward mobility.,Poorly managed PR / branding / lots of unfortunate headlines.,5,5,5,5,5,5,NA,NA
4,empReview_36372419, Deutsche Bank,Deutsche Bank SWE,Former Employee - Software Engineer,I worked at Deutsche Bank full-time,"Best company, people are supportive and encouraging.","Nothing, I don't think you would have anything to complain about working here",5,NA,NA,NA,NA,NA,NA,NA
4,empReview_36150542, Deutsche Bank,Great Firm,Current Employee - Analyst,I have been working at Deutsche Bank full-time for less than a year,Top 10 bank in the world and amazing benefits,News coverage hasn't been favorable recently,5,5,5,5,5,5,NA,NA
4,empReview_36868623, Deutsche Bank,Fair company,Former Employee - Senior Business Analyst,I worked at Deutsche Bank full-time for more than 5 years,"Great perks, good people to work with",Lack of motivation from others,3,4,4,1,1,NA,4,NA
4,empReview_36885036, Deutsche Bank,Good Comp. Uncertain Business,Current Employee - Associate,I have been working at Deutsche Bank full-time,Compensation is above average on the street,There is uncertainty around bank restructuring,3,NA,NA,NA,NA,NA,NA,NA
4,empReview_36281614, Deutsche Bank,Competative pay & benefits,Former Employee - Cyber Security Program Manager,I worked at Deutsche Bank full-time for more than a year,The pay was good and the benefits were really nice compared to US based companies. They understand what a good work life balance is supposed to be.,"It was difficult to make progress on any major projects due to the layers of bureaucracy. Some benefits were removed in the last couple of years that really disrupted moral.
The company is too top heavy with management and big thinkers. They need more doers to actually meet their goals and get things accomplished.",4,5,5,4,5,4,NA,NA
4,empReview_36768547, Deutsche Bank,Good company but pays very less,Current Employee - Associate,I have been working at Deutsche Bank full-time,Good company but pays very less,Pays very less compared to other competitive companies in the market,3,NA,NA,NA,NA,NA,NA,NA
4,empReview_36770761, Deutsche Bank,Na,Current Employee - Software Developer Lead,I have been working at Deutsche Bank full-time,Transfer to use new tech,Too many vendor pay by hour.,3,4,3,4,4,NA,2,NA
4,empReview_36772129, Deutsche Bank,Great place to start career,Former Employee - Analyst,I worked at Deutsche Bank full-time for more than a year,Great foundational network. People usually leave but stay in touch,People are compensated fairly and its hard to retain talent,3,4,3,5,2,NA,5,NA
4,empReview_36194573, Deutsche Bank,Good People,Former Employee - AVP-IT,I worked at Deutsche Bank full-time for more than 10 years,The company great people and work culture.,It's a big company and changes do take some time,5,4,5,2,3,5,NA,NA
4,empReview_36724075, Deutsche Bank,Over worked,Current Employee - Associate,I have been working at Deutsche Bank full-time for more than 5 years,The flexibility to work from home,They do not pay for overtime work,3,2,3,4,4,NA,3,NA
5,empReview_36664219, Deutsche Bank,Difficult to work with negative headlines and constant management change,Former Employee - Director,I worked at Deutsche Bank full-time for more than 5 years,Great people who know how to work under adversity,Total chaos. DB never dodges a scandal. Management overpaid and afraid to challenge the inertia. Stock price highly correlated with morale.,2,4,2,4,3,NA,2,NA
5,empReview_36109083, Deutsche Bank,Great experience,Current Employee - Analyst,I have been working at Deutsche Bank full-time,Great experience and room to grow,No cons at this point,4,NA,NA,NA,NA,NA,NA,NA
5,empReview_36047928, Deutsche Bank,Risk Management,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than a year,People were friendly th e organization,HR overlooked experience and qualifications for quotas.,5,2,3,3,3,3,NA,NA
5,empReview_36640275, Deutsche Bank,data analyst,Former Employee - Anonymous Employee,I worked at Deutsche Bank full-time for less than a year,"good internal development opportunities, fun place to work","presurised environment, with ineffectual senior management",2,1,2,3,3,NA,4,NA
5,empReview_35964918, Deutsche Bank,company overview,Current Employee - Senior Analyst,I have been working at Deutsche Bank full-time for more than 3 years,Good working environment and good benefit,Low salary and no chance for promotion,4,4,4,4,3,2,NA,NA
5,empReview_36495929, Deutsche Bank,Good Working environment,Current Employee - AVP-Operations,I have been working at Deutsche Bank full-time for more than a year,Huge network and good corporate environment,"slow growth, communication needs improvement",3,3,3,3,2,3,NA,NA
5,empReview_36417596, Deutsche Bank,Making the right moves (finally),Current Employee - Vice President - Technology,I have been working at Deutsche Bank full-time,Good Benefits. Good teams to work with. Finally taking technology consolidation and modernization very seriously.,Career growth for the most part not driven by meritocracy . Some steps being taken to address this. More needs to be done.,3,4,3,2,3,3,NA,NA
5,empReview_35814404, Deutsche Bank,Analyst KYC/AML,Former Employee - Analyst KYC/AML,I worked at Deutsche Bank full-time for less than a year,Good pay and work life balance,Sometimes felt repetitive and boring,5,4,5,5,4,4,NA,NA
5,empReview_35823862, Deutsche Bank,Great platform to learn,Former Employee - Director,I worked at Deutsche Bank full-time for more than a year,"Great platform to learn, very smart people","Infrastructure is old, IT behind peers. Internal politics a problem",4,2,2,3,3,3,NA,NA
5,empReview_36323205, Deutsche Bank,can do better,Current Employee - Software Engineer,I have been working at Deutsche Bank full-time,Good benefits provided by the company,Bad compensation provided by the company,3,NA,NA,NA,NA,NA,NA,NA
6,empReview_36215750, Deutsche Bank,DB Environment,Former Employee - Vice President,I worked at Deutsche Bank full-time,Overall great team experience and collaboration with colleagues.,Conflicting objectives and views at global management level.,3,NA,NA,NA,NA,NA,NA,NA
6,empReview_35699165, Deutsche Bank,DANTA ENTRY,Current Employee - Data Entry,I have been working at Deutsche Bank full-time for less than a year,SCHEDULE FLEXIBLE AND DAYS BUT REQUIRED SUNDAYS,"pay is low, no sick pay, no vacation pay",5,1,2,1,3,1,NA,NA
6,empReview_36217578, Deutsche Bank,needs better mgmt,Current Employee - Analyst,I have been working at Deutsche Bank full-time for more than a year,okay people and okay pay not the best,leadership needs to make better decisions,2,2,2,3,2,1,NA,NA
6,empReview_35660767, Deutsche Bank,Very good employer!,Former Employee - Operations Analyst,I worked at Deutsche Bank full-time for more than 10 years,Opportunities abound in every department.,Keen competition for advancement due to influx of new/young talents.,4,3,4,4,3,3,NA,NA
6,empReview_35605195, Deutsche Bank,Work Life Balance,Former Employee - Business Analyst,I worked at Deutsche Bank full-time,"They treat their employees fairly, are dedicated to the success of their employees, have great work life balance, and very responsive.","Low salary, Benefits can be improved",4,NA,NA,NA,NA,NA,NA,NA
6,empReview_36026963, Deutsche Bank,Not bad,Former Employee - Staff Accountant,I worked at Deutsche Bank full-time,Great people and helpful management,Bad tech and slow processes,3,3,3,3,3,3,NA,NA
6,empReview_35501404, Deutsche Bank,Good start,Current Employee - Software Engineer,I have been working at Deutsche Bank full-time for more than 3 years,"Benefits, Official work, balanced, learning",relies on practices of the industry,5,5,5,5,5,5,NA,NA
6,empReview_35511561, Deutsche Bank,Good company,Current Employee - Analyst,I have been working at Deutsche Bank full-time,"A global universal bank, one of the largest in world",Doesn’t have a equity business,5,NA,NA,NA,NA,NA,NA,NA
6,empReview_35515746, Deutsche Bank,Good Company and good reconginzition,Current Employee - AVP-Analyst,I have been working at Deutsche Bank full-time for more than a year,"Good recognition, pays well, work life balance,","Lack of guidance and minimum training on the process you handle, no bonus if you are aAVp and below",5,5,3,5,4,4,NA,NA
6,empReview_35461227, Deutsche Bank,Good company,Current Employee - Knowledge Analyst,I have been working at Deutsche Bank full-time,"Benefits, pay, environment, location, pto","Long hours, hard to get promotions",5,NA,NA,NA,NA,NA,NA,NA
7,empReview_35952186, Deutsche Bank,N/A,Former Employee - Global Markets Analyst,I worked at Deutsche Bank full-time for less than a year,"Your coworkers are great, especially those in your class.",The morale is extremely low.,2,4,3,3,3,3,NA,NA
7,empReview_35927953, Deutsche Bank,OK,Former Employee - Analyst,I worked at Deutsche Bank full-time,learned a lot very quickly,"tough place, long hours, tough culture",3,NA,NA,NA,NA,NA,NA,NA
7,empReview_35949511, Deutsche Bank,company review,Former Employee - Not Applicable,I worked at Deutsche Bank full-time,the company pays employees well,the investment banking culture sometimes,3,NA,NA,NA,NA,NA,NA,NA
7,empReview_35429196, Deutsche Bank,deutsche bank,Former Employee - SAP Consultant,I worked at Deutsche Bank full-time for more than 3 years,good enviroment to work and make friends,sometimes too much work to complete in little time,4,5,3,4,4,5,NA,NA
7,empReview_35787640, Deutsche Bank,Good people on a sinking ship,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 5 years,worked with some nice people,the company has been mismanaged for two decades and the line workers are the ones bearing the cost,3,NA,NA,NA,NA,NA,NA,NA
7,empReview_35849931, Deutsche Bank,Meh,Former Employee - Software Developer,I worked at Deutsche Bank full-time,Less work hours for a full time job,No future growth for employees,2,4,2,1,2,1,NA,NA
7,empReview_36594811, Deutsche Bank,Terrible place to work,Current Employee - Anti-financial Crime Analyst,I have been working at Deutsche Bank full-time for more than a year,Good benefits and lots of PTO,Terrible pay and you will be treated as if you are incompetent or lazy. You will be working in a production environment which means the numbers are the only thing that matter. If you 3 or less days of PTO your numbers will not be adjusted and you will have to make up the time when you get back. If you take a sick day your numbers will not be adjusted. If you spend the day in training or mandatory meetings your numbers will not be adjusted. Plan on working every weekend.,1,1,1,2,2,NA,1,NA
7,empReview_35668676, Deutsche Bank,test,Former Employee - Executive Assistant,I worked at Deutsche Bank full-time,Great location and building downtown,no benefits for meals and gym,2,NA,NA,NA,NA,NA,NA,NA
7,empReview_35146962, Deutsche Bank,Pros,Current Employee - Anonymous Employee,I have been working at Deutsche Bank full-time for more than 3 years,The people are very kind to work with and passionate about their work.,Length of time to get promoted.,4,5,4,4,4,4,NA,NA
7,empReview_35062555, Deutsche Bank,work review,Current Employee - Anonymous Employee,I have been working at Deutsche Bank full-time for more than 8 years,works on new technologies and new toolsets,uncertainty and too many org changes,4,3,5,4,3,3,NA,NA
8,empReview_34964536, Deutsche Bank,Great experience,Former Employee - Technology Analyst,I worked at Deutsche Bank full-time,"Company laterilization, great team to work with, willing to give you in an edge in the banking industry","Location should be considered, if you are looking at this job",5,5,5,5,5,5,NA,NA
8,empReview_35369163, Deutsche Bank,"Not the Worst, Not the Best",Current Employee - Senior Manager,I have been working at Deutsche Bank full-time,Great People and A Lot of Opportunity,"A ton of bureaucracy, and Management not the greatest",3,2,2,3,4,3,NA,NA
8,empReview_34862229, Deutsche Bank,Decent place,Former Employee - Analyst,I worked at Deutsche Bank full-time,"Compensation, global recognition, some top groups","Long hours, some rough co-workers",4,NA,NA,NA,NA,NA,NA,NA
8,empReview_35357497, Deutsche Bank,Good organization with some challenges,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 10 years,"smart people, good product capability, global reach","culture not good in spots, there is no constructive way to report poor leadership of your manager",3,3,3,2,3,NA,NA,NA
8,empReview_34829964, Deutsche Bank,DB Review,Current Employee - Anonymous Employee,I have been working at Deutsche Bank full-time for less than a year,Great work experience and people,Long hours and heavy workload,5,5,5,5,5,5,NA,NA
8,empReview_34779972, Deutsche Bank,Good company w/ variety and internal mobility,Current Employee - Analyst,I have been working at Deutsche Bank full-time,"Good work variety, training opportunities, international community",Usual structure of large organizations,5,4,4,NA,5,NA,NA,NA
8,empReview_34725014, Deutsche Bank,A good stable top tier global investment bank,Current Employee - Director,I have been working at Deutsche Bank full-time,great work life balance. diverse caliber talent pool.,complex organization requiring very persistent and driven people to get the job done. much more difficult to get things done vs. American banks.,5,5,3,3,3,4,NA,NA
8,empReview_34714473, Deutsche Bank,Excellent company to work for,Former Employee - AVP-IT,I worked at Deutsche Bank full-time for more than 3 years,"Good pay
Good benefits
Excellent management
Friendly working environment",Not much opportunity to attain technical training,5,5,5,4,5,5,NA,NA
8,empReview_35172946, Deutsche Bank,Diversity,Former Employee - AVP-Operations,I worked at Deutsche Bank full-time for more than 3 years,"Big Bank, international opportunities, very good environment","Red tape, hard to get promoted",3,3,4,4,3,3,NA,NA
8,empReview_35084735, Deutsche Bank,Good,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 5 years,Can do as much as you want and flat structure,Just a bad company to work for. Low level talent,2,1,1,2,2,1,NA,NA
9,empReview_35030593, Deutsche Bank,Hot downward spiraling mess,Former Employee - Business Analyst,I worked at Deutsche Bank full-time for more than 3 years,"Flexible WFH policy, good healthcare benefits, good amount of vacation days","Morale at DB is terrible - employees are constantly talking down on the company, layoffs happened frequently throughout the year, never able to turn a profit. Many of my more senior colleagues went years without a raise (even inflation adjusted!!) or performance bonus",2,3,3,3,3,3,NA,NA
9,empReview_35729014, Deutsche Bank,Not great,Former Employee - Managing Director,I worked at Deutsche Bank full-time for more than 5 years,It was a job in tier 1 finance,A truly toxic work environment,1,1,1,1,1,1,NA,NA
9,empReview_34569041, Deutsche Bank,Outstanding support,Former Employee - Security Officer,I worked at Deutsche Bank full-time for more than 3 years,Comradary was great all day,Personal reasons that I will not say,5,4,2,2,2,3,NA,NA
9,empReview_35658082, Deutsche Bank,Bookrunner,Former Employee - Assistant Vice President,I worked at Deutsche Bank full-time for more than 3 years,Location on Wall Street was the only pro,"Worst job ever. Crazy hours (leave 10pm). No advancement. Vice Presidents and above were too comfortable and didn't want anyone to challenge their position. They are constantly cutting costs to pay the never-ending fines. Senior management and traders break the rules, but still get rewarded. Middle office and back office get shafted.",1,1,2,1,1,1,NA,NA
9,empReview_34937799, Deutsche Bank,very political,Former Employee - Vice President,I worked at Deutsche Bank full-time,"people, flexibility, work hours,structure, comp","very political, mismanaged, quality of people",2,2,3,2,3,3,NA,NA
9,empReview_34817668, Deutsche Bank,Rough culture,Former Employee - Investment Banking Analyst,I worked at Deutsche Bank full-time for more than a year,Still strong enough brand name for exit ops.,"Rough culture, bank was struggling, IB",3,NA,NA,NA,NA,NA,NA,NA
9,empReview_34486212, Deutsche Bank,Great place to work,Current Employee - Full Stack Software Engineering,I have been working at Deutsche Bank full-time,Great place to grow and learn new techs,No cons so far working here,5,NA,NA,NA,NA,NA,NA,NA
9,empReview_34436291, Deutsche Bank,Nice people but difficult to navigate,Former Employee - Vice President,I worked at Deutsche Bank full-time,Good Benefits/vacation. Excellent parental leave.,Very difficult to navigate the complex internal processes,4,NA,NA,NA,NA,NA,NA,NA
9,empReview_34206331, Deutsche Bank,Working Environment,Former Employee - Assistant Vice President,I worked at Deutsche Bank full-time for more than 8 years,Company has a lot of nice people working there,Company has a lot of restructuring,5,3,4,3,4,3,NA,NA
9,empReview_34216913, Deutsche Bank,good company,Current Employee - Vice President,I have been working at Deutsche Bank full-time,good people and good environment,low compensation vs Street and peers,4,3,3,NA,3,3,NA,NA
10,empReview_34482603, Deutsche Bank,This can be a great company if upper management was more engaging with staff,Former Employee - Assistant Vice President,I worked at Deutsche Bank full-time for more than 10 years,work life balance and great for first time experience,No raise for over 5 years. Upper management does not even acknowledge staff.,3,5,3,3,1,3,NA,NA
10,empReview_34487261, Deutsche Bank,DB,Former Employee - Anonymous Employee,I worked at Deutsche Bank full-time for more than 10 years,Loved working with my co-workers.,Technology systems were not up to par and made doing the job sometimes difficult.,3,4,3,5,4,3,NA,NA
10,empReview_34186738, Deutsche Bank,Working at DB,Former Employee - Investment Banking Analyst,I worked at Deutsche Bank full-time for more than a year,Good exit opportunities given bank reputation,Bank going through troubles and cost cutting,4,2,5,5,5,5,NA,NA
10,empReview_34465176, Deutsche Bank,tough day to day,Former Employee - Assistant Vice President,I worked at Deutsche Bank full-time for more than 5 years,Laid back culture and work environment,Poor Data quality and cumbersome systems,3,3,3,3,3,2,NA,NA
10,empReview_34992999, Deutsche Bank,"The layoffs are coming from London for Cary, NC",Current Employee - Anonymous Employee,I have been working at Deutsche Bank full-time,People you work with are nice.,"Lines of code pushed monitored and need to explain why you missed your ""Required Targets"" for the sprint - 3 strikes and your out.
No real home either the goal is every couple of sprints you could move to another project. Code Target is still there.

Everyone is looking out for themselves.",1,3,1,1,3,1,NA,NA
10,empReview_34175597, Deutsche Bank,Analyst,Current Employee - Investment Banking Analyst,I have been working at Deutsche Bank full-time for more than a year,"People care about you
Decent work life balance",Brand image and outside news,4,4,4,4,4,4,NA,NA
10,empReview_34148893, Deutsche Bank,Good place to work,Current Employee - Web Developer,I have been working at Deutsche Bank full-time for more than a year,"Great work-life balance, friendly working environment.",Restructuring all the time. Lots of regulatory issues.,4,5,5,4,4,4,NA,NA
10,empReview_34143611, Deutsche Bank,Decent work life balance,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 5 years,"Decent work life balance, great group of people to work with, enjoyable work.","No raises ever, lots and lots of negative news.",4,5,3,3,3,3,NA,NA
10,empReview_34361293, Deutsche Bank,OK,Current Employee - Analyst,I have been working at Deutsche Bank full-time,"Very ok company, solid experience","Very ok company, solid experience but bad outlook",2,NA,NA,NA,NA,NA,NA,NA
10,empReview_34056578, Deutsche Bank,Generous leaves,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 8 years,"Generous leaves
Excellent infrastructure
Best internal tools and services",No hikes for long careers,4,4,3,3,2,2,NA,NA
11,empReview_34722464, Deutsche Bank,Wealth Management Americas,Former Employee - Managing Director,I worked at Deutsche Bank full-time for more than 3 years,There are none. I would be shocked if this division survives the disaster that is Deutsche Bank,Absolutely the worst place I have ever worked. Management has no idea what they are doing and are faking everything they do. The regulators  should shut this firm down as they don’t even have enough budget to be compliant.,1,2,1,1,3,1,NA,NA
11,empReview_34289088, Deutsche Bank,Good People and Bad,Former Employee - Credit Risk Analyst,I worked at Deutsche Bank full-time for more than a year,opportunity to learn other skills on the side. some really great managers. people around the bank are generally willing to teach you skills.,working with foreign branches is an absolute nightmare. certain colleagues treated this as a 9-5 job and put in the bare minimum. bonus is basically non existent at a junior level,3,4,2,4,2,3,NA,NA
11,empReview_34238191, Deutsche Bank,Great Place to work but company is challenged,Former Employee - Director,I worked at Deutsche Bank full-time for more than 8 years,People are great. A true multi-national company.,Business model is challenged. Company has struggled to grow business and achieve profitability.,3,4,4,4,3,2,NA,NA
11,empReview_33953376, Deutsche Bank,Good,Former Employee - Junior Trader,I worked at Deutsche Bank full-time for more than 8 years,Talent Diverse PnL driven motivated Good,None none none none none,5,5,5,5,3,5,NA,NA
11,empReview_33920324, Deutsche Bank,Great company to work for.,Current Employee - Applications Support Specialist,I have been working at Deutsche Bank full-time for more than 3 years,Friendly working environments. There are space to grow for employees.,Salary should be better for every one when stock market soaring every day.,5,5,5,5,5,5,NA,NA
11,empReview_34161823, Deutsche Bank,"Great People, High Turnover in Management",Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 8 years,I enjoyed working with intelligent and collaborative colleagues. Pay was above industry average.,Very high turnover in management. Very high turnover in my business line. Strategic direction was not clear.,3,NA,NA,NA,NA,NA,NA,NA
11,empReview_34007120, Deutsche Bank,Eh,Former Employee - Programmer Analyst,I worked at Deutsche Bank full-time for more than a year,"Good benefits (holidays/sick days, 401k)","Below market rate compensation, culture rewards mediocrity",3,NA,NA,NA,NA,NA,NA,NA
11,empReview_33962804, Deutsche Bank,Bad news all the time,Current Employee - Investment Banking Associate,I have been working at Deutsche Bank full-time for more than 3 years,"Lean workforce, ready to give new opportunities",Lots of regulatory issues all the time. Restructuring all the time.,3,1,4,3,3,1,NA,NA
11,empReview_33934884, Deutsche Bank,"No investment into staff, no concern for growth",Current Employee - Prefer Not to Say,I have been working at Deutsche Bank full-time for more than 3 years,"Wide scope of businesses covered
Capable new CEO
Excellent US CEO","No investment into staff development
No interest in fostering even recognized outperformers
Abysmal IT resources (people) and infrastructure. The pits!
Zero manager oversight
A lot of talk from management, and very little execution
Terrible company culture
Uncompetitive benefits (401k match is a pathetic 4%)
Uncompetitive bonuses (4%)",2,2,2,2,3,2,NA,NA
11,empReview_33922047, Deutsche Bank,highly politicized environment,Former Employee - Assistant Vice President,I worked at Deutsche Bank full-time for more than a year,ability to learn on the job,poor senior management; personal favoritism that is not based on professional capabilities,2,3,1,2,3,2,NA,NA
12,empReview_34270010, Deutsche Bank,Be careful about technology jobs in the US and UK,Former Employee - Vice President,I worked at Deutsche Bank full-time,I met some nice people at DB,"Technology positions in the US and UK are being moved to India. I would think it through carefully before accepting a technology job in the US or UK.

There is constant technology senior management change. Lack of clear strategy outside of constant layoffs and cost reductions.

No salary raise for many years. What you are hired at will be your salary for years to come. Only exception is if you are promoted and you are not at the high end of the role band.

Bonuses were reduced this year by 25% from 2019 which was a poor year.

Review benefits carefully to confirm they are on par to DB peers",1,4,1,1,1,1,NA,NA
12,empReview_33244462, Deutsche Bank,DB,Former Employee - Business Manager,I worked at Deutsche Bank full-time,Good Structure and look to promote within,Like to pigeon hole you,4,NA,NA,NA,NA,NA,NA,NA
